150,15,0
150,15,15
150,15,30
150,30,0
150,30,15
150,30,30
150,45,0
150,45,15
150,45,30
150,60,0
150,60,15
150,60,30
150,75,0
150,75,15
150,75,30
150,90,0
150,90,15
150,90,30
150,105,0
150,105,15
150,105,30
150,120,0
150,120,15
150,120,30
157.5,7.5,7.5
157.5,7.5,22.5
157.5,22.5,7.5
157.5,22.5,22.5
157.5,37.5,7.5
157.5,37.5,22.5
157.5,52.5,7.5
157.5,52.5,22.5
157.5,67.5,7.5
157.5,67.5,22.5
157.5,82.5,7.5
157.5,82.5,22.5
157.5,97.5,7.5
157.5,97.5,22.5
157.5,112.5,7.5
157.5,112.5,22.5
165,0,0
165,0,15
165,0,30
165,15,0
165,15,15
165,15,30
165,30,0
165,30,15
165,30,30
165,45,0
165,45,15
165,45,30
165,60,0
165,60,15
165,60,30
165,75,0
165,75,15
165,75,30
165,90,0
165,90,15
165,90,30
165,105,0
165,105,15
165,105,30
165,120,0
165,120,15
165,120,30
172.5,22.5,7.5
172.5,22.5,22.5
172.5,37.5,7.5
172.5,37.5,22.5
172.5,52.5,7.5
172.5,52.5,22.5
172.5,67.5,7.5
172.5,67.5,22.5
172.5,82.5,7.5
172.5,82.5,22.5
172.5,97.5,7.5
172.5,97.5,22.5
180,15,0
180,15,15
180,15,30
180,30,0
180,30,15
180,30,30
180,45,0
180,45,15
180,45,30
180,60,0
180,60,15
180,60,30
180,75,0
180,75,15
180,75,30
180,90,0
180,90,15
180,90,30
180,105,0
180,105,15
180,105,30
